episode,eval_density,reward,moving_avg
168,medium,-16941960.0,-26902260.0
169,high,-151386300.0,-146317443.0
170,congested,-634514880.0,-635786202.0
171,medium,-19357200.0,-27048471.0
172,high,-150959340.0,-146908116.0
173,congested,-638377680.0,-634473264.0
174,medium,-19357200.0,-27205062.0
175,high,-150707220.0,-146767962.0
176,congested,-639795420.0,-634801173.0
177,medium,-19357200.0,-27515088.0
178,high,-153048180.0,-147707637.0
179,congested,-652438980.0,-635759916.0
180,medium,-19357200.0,-27825114.0
181,high,-154333740.0,-148620462.0
182,congested,-651875460.0,-636826137.0
183,medium,-19357200.0,-28135140.0
184,high,-153737940.0,-148932969.0
185,congested,-643307760.0,-636753543.0
186,medium,-19357200.0,-27738213.0
187,high,-154001760.0,-149794545.0
188,congested,-653755200.0,-637777596.0
189,medium,-19357200.0,-27341286.0
190,high,-154216200.0,-150624129.0
191,congested,-640487100.0,-637636296.0
192,medium,-19357200.0,-26599974.0
193,high,-153737940.0,-150502827.0
194,congested,-646999860.0,-637725195.0
195,medium,-19357200.0,-25840167.0
196,high,-153737940.0,-151069737.0
197,congested,-648694980.0,-638598630.0
198,medium,-19357200.0,-25096887.0
199,high,-154454520.0,-150914820.0
200,congested,-649458480.0,-638952582.0
201,medium,-19357200.0,-24416736.0
202,high,-153811080.0,-151345479.0
203,congested,-649740960.0,-639908268.0
204,medium,-19357200.0,-23736348.0
205,high,-155475720.0,-152098869.0
206,congested,-649527600.0,-641018538.0
207,medium,-19357200.0,-23092191.0
208,high,-155475720.0,-152337183.0
209,congested,-647321400.0,-642104301.0
210,medium,-19357200.0,-22448034.0
211,high,-154441440.0,-152706786.0
212,congested,-648519720.0,-642958956.0
213,medium,-19357200.0,-21803877.0
214,high,-152614140.0,-152824416.0
215,congested,-632439120.0,-643354878.0
216,medium,-19357200.0,-21159720.0
217,high,-155185620.0,-153131994.0
218,congested,-636539160.0,-643766856.0
219,medium,-19357200.0,-20515563.0
220,high,-156819120.0,-153434670.0
221,congested,-629002380.0,-643602573.0
222,medium,-19357200.0,-19871406.0
223,high,-144711660.0,-153129999.0
224,congested,-627799800.0,-642987705.0
225,medium,-19357200.0,-19236438.0
226,high,-137307780.0,-152508168.0
227,congested,-623066160.0,-642183105.0
228,medium,-19357200.0,-19357200.0
229,high,-136734660.0,-151775586.0
230,congested,-628107000.0,-641862711.0
231,medium,-19357200.0,-19357200.0
232,high,-137103240.0,-151082781.0
233,congested,-623630400.0,-641125347.0
234,medium,-19357200.0,-19357200.0
235,high,-136966800.0,-150395760.0
236,congested,-625759920.0,-640423572.0
237,medium,-19357200.0,-19357200.0
238,high,-138225180.0,-149654610.0
239,congested,-623653380.0,-638984292.0
240,medium,-19357200.0,-19357200.0
241,high,-134620620.0,-148668954.0
242,congested,-631809180.0,-637980978.0
243,medium,-19357200.0,-19357200.0
244,high,-143234100.0,-148143762.0
245,congested,-633131100.0,-637472145.0
246,medium,-19357200.0,-19357200.0
247,high,-149040180.0,-147895683.0
248,congested,-637560720.0,-636662421.0
249,medium,-19357200.0,-19357200.0
250,high,-149158920.0,-147642819.0
251,congested,-636871080.0,-636481620.0
252,medium,-19357200.0,-19357200.0
253,high,-148671540.0,-147389499.0
254,congested,-636713220.0,-635967288.0
255,medium,-19357200.0,-19357200.0
256,high,-148567740.0,-147130989.0
257,congested,-636021300.0,-635333604.0
258,medium,-19357200.0,-19357200.0
259,high,-148940460.0,-146855286.0
260,congested,-636133800.0,-634667370.0
261,medium,-19357200.0,-19357200.0
262,high,-146020140.0,-146465739.0
263,congested,-635044680.0,-633932556.0
264,medium,-19357200.0,-19357200.0
265,high,-146684880.0,-146026197.0
266,congested,-636816960.0,-633297024.0
267,medium,-19357200.0,-19357200.0
268,high,-147531660.0,-145628994.0
269,congested,-636816960.0,-632771802.0
270,medium,-19336140.0,-19356147.0
271,high,-148899240.0,-145351884.0
272,congested,-635622360.0,-632126934.0
273,medium,-19357200.0,-19356147.0
274,high,-147251280.0,-145083741.0
275,congested,-636292620.0,-632319609.0
276,medium,-19357200.0,-19356147.0
277,high,-147531660.0,-144701043.0
278,congested,-636742200.0,-632329761.0
279,medium,-19357200.0,-19356147.0
280,high,-148998960.0,-144310035.0
281,congested,-636246720.0,-632691978.0
282,medium,-19357200.0,-19356147.0
283,high,-148024080.0,-144475656.0
284,congested,-636992340.0,-633151605.0
285,medium,-19357200.0,-19356147.0
286,high,-148671540.0,-145043844.0
287,congested,-636698100.0,-633833202.0
288,medium,-19357200.0,-19356147.0
289,high,-147860220.0,-145600122.0
290,congested,-635997120.0,-634227708.0
291,medium,-19357200.0,-19356147.0
292,high,-149195340.0,-146204727.0
293,congested,-635997120.0,-634846044.0
294,medium,-19357200.0,-19356147.0
295,high,-148881240.0,-146800449.0
296,congested,-637572120.0,-635436654.0
297,medium,-19357200.0,-19356147.0
298,high,-147531660.0,-147265773.0
299,congested,-636882360.0,-636098103.0
300,medium,-19357200.0,-19356147.0
301,high,-148998960.0,-147984690.0
302,congested,-637683540.0,-636391821.0
303,medium,-19336140.0,-19355094.0
304,high,-147988680.0,-148222419.0
305,congested,-636709080.0,-636570720.0
306,medium,-19336140.0,-19354041.0
307,high,-146631540.0,-148101987.0
308,congested,-636886080.0,-636536988.0
309,medium,-19357200.0,-19354041.0
310,high,-148376520.0,-148062867.0
311,congested,-636886080.0,-636537738.0
312,medium,-19357200.0,-19354041.0
313,high,-148147740.0,-148036677.0
314,congested,-636963060.0,-636550230.0
315,medium,-19357200.0,-19354041.0
316,high,-148376520.0,-148027116.0
317,congested,-636786060.0,-636588468.0
318,medium,-19336140.0,-19352988.0
319,high,-147150900.0,-147937638.0
320,congested,-636963060.0,-636629931.0
321,medium,-19336140.0,-19351935.0
322,high,-148376520.0,-148055457.0
323,congested,-637336020.0,-636744498.0
324,medium,-19361220.0,-19352136.0
325,high,-148743360.0,-148158381.0
326,congested,-637045980.0,-636755949.0
327,medium,-19361220.0,-19352337.0
328,high,-148376520.0,-148200624.0
329,congested,-635181060.0,-636674154.0
330,medium,-19361220.0,-19353591.0
331,high,-148376520.0,-148174488.0
332,congested,-635181060.0,-636652089.0
333,medium,-19357200.0,-19353591.0
334,high,-147531660.0,-148188507.0
335,congested,-635922120.0,-636633564.0
336,medium,-19336140.0,-19352538.0
337,high,-147481800.0,-148186014.0
338,congested,-636273420.0,-636610125.0
339,medium,-19336140.0,-19351485.0
340,high,-148165620.0,-148144347.0
341,congested,-636273420.0,-636611460.0
342,medium,-19357200.0,-19351485.0
343,high,-148970760.0,-148191681.0
344,congested,-635883660.0,-636556026.0
345,medium,-19357200.0,-19351485.0
346,high,-148248240.0,-148170516.0
347,congested,-636430440.0,-636542643.0
348,medium,-19336140.0,-19350432.0
349,high,-148072560.0,-148181133.0
350,congested,-637316580.0,-636608616.0
351,medium,-19357200.0,-19350432.0
352,high,-148072560.0,-148124994.0
353,congested,-636912540.0,-636654387.0
354,medium,-19336140.0,-19349379.0
355,high,-147550260.0,-148058445.0
356,congested,-636270000.0,-636589281.0
357,medium,-19357200.0,-19349379.0
358,high,-147938880.0,-148078806.0
359,congested,-636472980.0,-636568812.0
360,medium,-19357200.0,-19349379.0
361,high,-149082180.0,-148082967.0
362,congested,-635822340.0,-636475752.0
363,medium,-19336140.0,-19349379.0
364,high,-148376520.0,-148102359.0
365,congested,-635612760.0,-636420936.0
366,medium,-19357200.0,-19350432.0
367,high,-148888140.0,-148215189.0
368,congested,-636387120.0,-636395988.0
369,medium,-19336140.0,-19349379.0
370,high,-148165620.0,-148204644.0
371,congested,-636836400.0,-636393504.0
372,medium,-19336140.0,-19348326.0
373,high,-148466760.0,-148220595.0
374,congested,-636544860.0,-636372594.0
375,medium,-19336140.0,-19347273.0
376,high,-147481800.0,-148175859.0
377,congested,-635546340.0,-636310608.0
378,medium,-19336140.0,-19347273.0
379,high,-148970760.0,-148266852.0
380,congested,-637375320.0,-636331221.0
381,medium,-19336140.0,-19347273.0
382,high,-148283880.0,-148262220.0
383,congested,-635870700.0,-636257955.0
384,medium,-19336140.0,-19346019.0
385,high,-147803700.0,-148215237.0
386,congested,-633078240.0,-636059568.0
387,medium,-19336140.0,-19344765.0
388,high,-148373460.0,-148215084.0
389,congested,-631863420.0,-635893686.0
390,medium,-19336140.0,-19343511.0
391,high,-147719100.0,-148182213.0
392,congested,-631294920.0,-635699379.0
393,medium,-19336140.0,-19342458.0
394,high,-147988680.0,-148205064.0
395,congested,-632068260.0,-635506686.0
396,medium,-19336140.0,-19342458.0
397,high,-149229780.0,-148292463.0
398,congested,-630585120.0,-635222271.0
399,medium,-19336140.0,-19342458.0
